Country;2017;2018
Argentina;HIGH;HIGH
Australia;ACCEPTABLE;ACCEPTABLE
Canada;ACCEPTABLE;ACCEPTABLE
Chile;HIGH;HIGH
Dominican Republic;HIGH;HIGH
Papua New Guinea;HIGH;HIGH
Peru;ACCEPTABLE;HIGH
Saudi Arabia;ACCEPTABLE;ACCEPTABLE
Tanzania;HIGH;HIGH
United States;HIGH;HIGH
Zambia;ACCEPTABLE;HIGH
