Country Name;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Australia;East Asia & Pacific;14.04650042;15.01138952;12.61600765;13.81750078;13.74764595;15.24890001;15.11532463;13.87917388;14.47219653;13.31989124;13.20734253;12.92385485;12.02066719;11.07227512;13.25530892;14.76144328;13.40482252;14.67387912;14.61504754;15.38863466;15.94065;16.76494924;16.85221952;15.64921585;15.02150543;17.31936416;18.09278944;17.10012754;16.64977122;16.99107933;17.10015864;16.22095878;16.44706705;17.90183301;18.48119689;19.82585912;19.30464239;18.79708423;20.35344778;20.62190016;21.44290001;21.94529504;20.62877538;21.02292078;19.69406844;20.77001013;21.39278768;21.48863386;22.34297499;22.40788387;20.40480675;20.09277943;21.37495718;20.87901441;21.08551266;21.130465;21.08378695;
Austria;Europe & Central Asia;23.26193335;21.90190728;22.20171697;22.85788192;23.58618233;24.46902161;25.21686113;24.60428649;24.70470975;25.87725787;27.445446;27.32203167;27.3422511;27.51420622;30.42765329;28.480435;31.13744703;32.29635144;30.52710226;32.40906122;35.10227614;35.36600764;32.34828622;31.96697695;33.79543438;35.13215664;31.98985399;31.42097006;33.46335068;35.49316759;35.7607403;35.42798441;34.44579629;31.77430612;33.80000154;34.69414737;35.80033689;37.80034374;38.53324486;38.85603367;41.96330561;42.86214974;41.57123891;41.75568568;43.86488684;45.3402367;47.16033954;48.0560728;48.66480818;41.64117693;47.4749764;50.90489863;50.95637562;50.39639382;49.32134684;48.39739203;48.04526176;
Azerbaijan;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.22237381;41.20508982;54.59637767;75.9883373;30.63005668;41.51002437;55.54765721;53.02436769;54.53126181;41.87764233;38.378095;37.31793024;50.04893409;65.55051144;72.71588455;52.89701497;38.75938575;28.51369898;23.46675902;23.108296;20.68126693;24.08106448;25.28843344;26.65102609;26.20564612;34.80673042;43.67250835;
Burundi;Sub-Saharan Africa;13.39285783;14.65517299;16.39344216;14.28571441;12.08053731;12.53428946;12.99218038;11.88577655;13.36681223;12.0945743;11.62101972;14.17168014;15.07496967;13.33273113;15.53393773;19.00177059;16.65287675;17.29141892;20.2264008;22.72214152;23.29206503;22.0376957;26.90744599;24.74775974;23.55230979;20.78690239;22.3156305;25.73863173;25.95318325;22.9435654;27.77514726;28.50518278;29.47695089;27.16103576;28.48175853;27.27828356;15.75340125;14.43990665;19.44027986;15.9639877;16.23475389;15.78484345;16.98802523;20.99489805;24.62336989;33.44430652;46.86974116;34.22384296;37.92616045;43.12351448;39.17905362;37.66549408;37.46885112;34.24535243;33.53881977;29.74058332;31.91535834;
Belgium;Europe & Central Asia;38.50067422;39.80529742;40.58455193;42.67004473;42.8293237;42.00679821;44.36964024;42.26756145;44.40565651;47.69100873;42.58820529;41.63787613;40.90157993;45.91504834;52.15383604;45.41276637;48.0550865;47.96437285;46.35198239;51.42975633;52.71188767;55.91778847;59.56633293;59.74347181;63.54559727;61.16011224;54.80869389;53.82029942;56.77115829;61.10786196;59.59831854;58.11102593;56.01987707;52.67885808;54.57307127;56.02369955;57.61730906;60.46992349;60.08722775;60.09851531;69.22148384;67.67409714;64.81011222;63.39421837;65.66786336;69.85499588;71.98276139;73.67278529;79.21206194;67.04698162;74.65171918;81.11811911;81.68914021;80.48834199;81.99085059;79.40695632;81.53539879;
Benin;Sub-Saharan Africa;12.110286;9.534632137;9.959304461;11.62589881;12.24316515;14.90571057;16.19606297;19.77226627;19.07658678;21.42850573;24.46132362;27.83261413;26.80014939;25.95016696;29.49464837;33.41298203;31.0285114;34.7807829;34.54536444;37.02178868;37.32210672;43.95887164;40.08629954;31.5777227;30.93192817;36.64859962;32.61549675;30.95060709;32.08308882;24.80493838;26.53887913;30.34223077;33.50159776;32.9174161;36.07346064;36.43119751;30.01897989;31.53549502;32.50068575;40.98182477;34.85130112;36.92675727;31.29638328;29.73830293;27.55170393;26.88452127;28.3238499;35.21845509;33.6432798;32.32871807;37.20526041;34.19668041;35.07604334;41.30819223;44.45463069;39.79648021;39.65566088;
Burkina Faso;Sub-Saharan Africa;15.83940461;15.7899764;15.70596469;15.6690092;11.51843946;11.37662058;11.64848834;13.92730705;15.28739068;16.53239462;16.14177019;19.9310891;21.28899967;22.91953873;24.47291572;30.15111636;27.00824323;30.44326689;27.75082927;29.28244368;31.26250766;31.43511365;31.62403532;29.57414785;28.75779204;31.02608229;28.97116629;28.08112953;27.13098209;23.64589735;24.45595903;23.34868798;19.52753601;20.67354067;25.02760109;26.60691488;27.61669256;26.60388778;28.13168055;24.16795805;24.97978041;23.12582748;21.69622157;22.02230533;25.8001442;25.79172314;25.25938118;24.87483237;26.34324155;27.72150678;29.64008894;33.1503015;37.16053004;41.10185666;34.93506404;36.28741425;;
Bangladesh;South Asia;9.307258373;11.69999897;10.80809699;11.65627794;14.12185539;13.3665973;12.65182215;12.59571799;11.60633145;11.66532876;12.50748406;10.72758452;13.73255915;11.85524718;10.3485456;8.100547239;17.63619316;12.38144623;15.4808518;15.79784406;17.88294732;14.11629594;15.53162433;14.71303159;13.41547204;12.83770602;11.83581054;11.69774799;12.24976334;12.7850303;13.05818553;12.22721492;12.34732859;14.10431403;13.86432091;17.34486186;16.36958007;15.80514283;16.12273217;16.62929817;16.97751313;18.71145786;16.55741179;16.2267362;15.7117252;20.00409297;21.75846087;22.94704781;24.96205555;23.15266332;21.77872999;27.49877488;27.94933388;26.75852861;25.5244202;24.74932415;21.30458385;
Bulgaria;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;30.68861231;34.52261126;33.21648916;36.93962019;38.24615025;43.20224081;43.46992488;42.62235398;45.89608581;48.15837612;36.72786877;39.20412675;52.93824701;45.83472733;45.67256469;49.90613559;45.38998022;37.28409839;36.06290297;47.78899911;41.83553323;44.3504683;41.7304308;44.74550695;52.23359944;57.27596225;64.21033354;70.64817788;72.30149033;50.60909025;53.02843365;58.6929028;63.97451407;65.06231294;65.95550171;63.95945107;59.66520734;
Bahrain;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;115.2404715;120.0092032;106.7770645;92.95073341;93.84405856;89.84050688;84.81310447;87.40003822;77.49443287;87.62992359;94.60513707;95.63864723;96.74204545;80.72929985;73.98490141;70.47376878;76.20189497;69.50529596;63.88542858;62.96445322;56.62841845;53.41544007;58.38986288;56.02846845;62.13213015;64.41946296;62.46424927;58.10552134;63.30522825;49.49813154;50.93507678;74.74121996;83.74172054;87.07080664;79.5138994;71.65060855;65.53338077;
Bahamas. The;Latin America & Caribbean;;;;;;;;;;;;;;;;;;66.1430575;67.51561749;60.2035392;62.87725605;62.36943568;59.55141608;58.01592798;58.30679536;59.27091219;57.9049545;55.8032445;;57.16884389;55.95925458;55.16752594;51.21453844;51.39327296;53.38048481;54.91630213;57.81906345;48.26068474;48.50151041;44.19655108;46.84528867;43.27529585;38.40430492;39.69987266;42.55362635;48.01522718;55.45303121;53.96552661;53.98326664;47.67263427;49.2414665;57.3130545;46.1235017;43.91788109;50.66212951;41.39768683;41.61146531;
